id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_age;en_wiki_aliases;en_wiki_bounty;en_wiki_dfname;en_wiki_dftype;en_wiki_first;en_wiki_height;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;en_wiki_status;fr_wiki_page_title;fr_wiki_image_url;fr_wiki_match_status;fr_wiki_match_via;fr_wiki_A;fr_wiki_acteur;fr_wiki_affiliation;fr_wiki_âge;fr_wiki_alias;fr_wiki_ancien_nomf;fr_wiki_capitaine;fr_wiki_Chapitres;fr_wiki_cp9clé;fr_wiki_Date;fr_wiki_df2nom;fr_wiki_df2nomf;fr_wiki_df2signifiant;fr_wiki_df2type;fr_wiki_dfnom;fr_wiki_dfnomf;fr_wiki_dftype;fr_wiki_doriki;fr_wiki_Ending;fr_wiki_épithète;fr_wiki_Format;fr_wiki_groupe_sanguin;fr_wiki_lieuvie;fr_wiki_naissance;fr_wiki_navire;fr_wiki_nom;fr_wiki_Nom;fr_wiki_nom_réel;fr_wiki_nomf;fr_wiki_Nomf;fr_wiki_nomj;fr_wiki_Nomj;fr_wiki_nomr;fr_wiki_Nomr;fr_wiki_numgladiateur;fr_wiki_numzombie;fr_wiki_occupation;fr_wiki_Opening;fr_wiki_origine;fr_wiki_P;fr_wiki_particularités;fr_wiki_Piece;fr_wiki_poids;fr_wiki_premiere;fr_wiki_première;fr_wiki_prime;fr_wiki_Saison;fr_wiki_SaisonKHV;fr_wiki_signe_astrologique;fr_wiki_signifiant;fr_wiki_statut;fr_wiki_taille;fr_wiki_titre;fr_wiki_Tomes;fr_wiki_vf;fr_wiki_vo
brannew;Brannew;Marines;Aucune;56;Buran'nyu;"100,000,000";;;"Chapter 96; Episode 45";190 cm;Commodore;Lieutenant Commander;Grand Line;Alive;Brannew;https://static.wikia.nocookie.net/onepiece/images/3/3d/Brannew_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Brannew;;;Marines;54 ans (avant l'ellipse) 56 ans (après l'ellipse);;Brand New;;;;;;;;;;;;;;;;X;;3 Septembre;;Brannew;;;Brandnew;;ブランニュー;;Burannyū;;;;Contre-Amiral Commandant;;Grand Line;;;;;;"Chapitre 96 ; Épisode 45";;;;;;Vivant;1m90;;;Maxime Donnay(45)Jérôme Keen(490+ + ES 4)Thierry Janssen(1086+Film 14);Shinichi Yamada
brogy;Brogy;Giant Warrior Pirates;Aucune;160;"Brogy the Red Ogre,Aka-Oni no Burogi,Burogi";"1,800,000,000";;;"Chapter 115; Episode 71";2130 cm;Pirate Captain;;Elbaph;Alive;Brogy;https://static.wikia.nocookie.net/onepiece/images/b/bf/Brogy_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Brogy;;Brendan Murray;Équipage des Géants;158 ans (avant l'ellipse) 160 ans (après l'ellipse);;Broggy;;;;;;;;;;;;;;"Brogy le Démon Rouge (赤鬼のブロギー, Aka Oni no Burogī)";;F;;1er Février;;Brogy;;;Brogy;;ブロギー;;Burogī;;;;Capitaine;;Erbaf;;;;;;"Chapitre 116 ; Épisode 71Chapitre 0 ; Épisode 0";100.000.000 1.800.000.000;;;;;Vivant;21m30;;;;
brook;Brook;Straw Hat Pirates;"Straw Hat Grand Fleet,Rumbar Pirates,Ninja-Pirate-Mink-Samurai Alliance ";90;"Demon King Satan-sama,Akuma-o Satan-sama,[EN][-]'Great Demon Lord,Funimation subs: 'King of the Devils - Satan-sama,Funimation dub: 'Lord Satan,Hone-kichi,Honekichi,[EN][-]English versions: Bonekichi,The Starving Skeleton,Gashadokuro,Humming Brook,Hanauta no Burukku,Soul King,Souru Kingu,Burukku";"383,000,000";Yomi Yomi no Mi;Paramecia;"Chapter 442; Episode 337";277 cm;Musician;"Swordsman; Senior Officer; Pirate Captain (acting, former); Battle Convoy leader; World-Famous Rock Star";West Blue;Alive;Brook;https://static.wikia.nocookie.net/onepiece/images/c/cd/Brook_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Brook;;Martial T. Batchamen;L'Équipage du Chapeau de PailleL'Équipage du Rumbar;38 ans (à sa mort)88 ans (avant l'ellipse)90 ans (après l'ellipse);;;;;;;;;;;Yomi Yomi no Mi;Fruit de la Résurrection;Paramecia;;;"""Le Gentleman Squelette""""Os Mort""""L'Escrimeur Fredonneur""""Brook le Fredonneur"" (鼻歌のブルック, Hanauta no Burukku)""Soul King"" (ソウルキング, Souru Kingu)";;X;Triangle de Florian Île de Namakura;3 Avril;;Brook;;;Brook;;ブルック;;Burukku;;;;MusicienEscrimeurPirateCapitaine Pirate Second Capitaine d'un convoi de bataille;;West Blue;;;;;;"Chapitre 442 ; Épisode 337Chapitre 0 ; Épisode 0";383.000.00083.000.00033.000.000;;;Bélier;RésurrectionAu-delà;;2m66 (avant l'ellipse)2m77 (après l'ellipse);;;Arnaud Léonard(337-750 + Films 10-13+ES2-4)Maxime Donnay(751+ + Film 14);Chō
buchi;Buchi;Black Cat Pirates;Aucune;23;"Nyaban Brothers,Nyaban Burazazu,English versions: 'Meowban Brothers,Buchi";"7,000,000";;;"Chapter 31; Episode 13";216 cm;Pirate Officer;Ship Guard;East Blue;Alive;Buchi;https://static.wikia.nocookie.net/onepiece/images/a/ad/Buchi_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Buchi;;Albert Pretorius;L'Équipage du Chat Noir;21 ans (avant l'ellipse)23 ans (après l'ellipse);;Tigré;;;;;;;;;;;;;;;;;;7 Février;;Buchi;;;Buchi;;ブチ;;Buchi;;;;Pirates;;East Blue;;;;;;"Chapitre 31; Épisode 13";"7,000,000 (avec Sham)";;;Verseau;;Inconnu;2m16;;;Voix AB Productions :N/CVoix Kana Home Vidéo :Michel HinderyckxVoix Live-Action :Jérôme Wiggins;Yasuhiro Takato
buffalo;Buffalo;Donquixote Pirates;Aucune;30;Baffaro;;Guru Guru no Mi;Paramecia;"Chapter 692; Episode 618";696 cm;Pirate Officer;"Combatant; Assassin";North Blue;Alive;Buffalo;https://static.wikia.nocookie.net/onepiece/images/a/ab/Buffalo_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Buffalo;;;L'Équipage de Don Quichotte Doflamingo;30 ans;;;;;;;;;;;Guru Guru no Mi;Fruit-Tournant;Paramecia;;;;;F;Spider Miles Dressrosa;8 Avril;;Buffalo;;;Buffalo;;バッファロー;;Baffarō;;;;Pirate;;North Blue;;;;;;"Chapitre 692 ; Épisode 618";;;;;Rotation;Vivant;6m96;;;Bernard Bollet(618-679)Jean-Paul Clerbois(700+);Yasuhiro Takato
cabaji;Cabaji;Cross Guild;"Buggy's Delivery,Buggy and Alvida Alliance, Buggy Pirates";34;"Cabaji the Acrobat,Kyokugi no Kabaji,Kabaji";;;;"Chapter 9; Episode 7";208 cm;Pirate;"Chief of Staff; Acrobat; Swordsman";East Blue;Alive;Cabaji;https://static.wikia.nocookie.net/onepiece/images/8/8b/Cabaji_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Cabaji;;Sven Ruygrok;L'Équipage du Clown;32 ans (au début)34 ans (après ellipse);;Carnage;;;;;;;;;;;;;;"Cabaji ""l'Acrobate"" (曲芸のカバジ, Kyokugi no Kabaji)";;X;;8 Septembre;;Cabaji;;;Cabaji;;カバジ;;Kabaji;;;;"Pirate; Lieutenant de L'Équipage du Clown; Aide de camp";;East Blue;;;;;;"Chapitre 9; Épisode 6";;;;;;Vivant;2m08;;;Voix AB Productions :Michel DodaneVoix Kana Home Vidéo :Maxime Donnay(6-52)Frédéric Popovic(145)Tony Marot(291-512 + ES 4)Mattéo Marchese(1086)Voix Live-Action :Martin Faliu;Endō Moriya
capone-bege;Capone Bege;Fire Tank Pirates;Big Mom Pirates;42;"Gang,Gyangu,Kapone Bejji";"350,000,000";Shiro Shiro no Mi;Paramecia;"Chapter 498; Episode 392";166 cm;Pirate;"Captain; Mafia don; Combatant";West Blue;Alive;Capone Bege;https://static.wikia.nocookie.net/onepiece/images/8/8a/Capone_Bege_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Capone_Bege;;;Équipage du Fire TankÉquipage de Big Mom;40 ans (avant l'ellipse)42 ans (après l'ellipse);;;;;;;;;;;Shiro Shiro no Mi;Fruit du Château;Paramecia;;;"""Gang"" (ギャング, Gyangu)";;S;;17 Janvier;;Capone Bege;;;Capone Bege;;カポネ・ベッジ;;Kapone Bejji;;;;Capitaine Pirate;;West Blue;;;;;;"Chapitre 498 ; Épisode 392";138.000.000300.000.000350.000.000;;;;Château;Vivant;1m66;;;Frédéric Souterelle(392-511)Philippe Roullier(401)Arnaud Crevecoeur(736)Pierre Bodson(762+ + Film 14);Naoki Tatsuta
caribou;Caribou;Caribou Pirates;"Fake Straw Hat Crew,Ninja-Pirate-Mink-Samurai Alliance";32;"Wet-Haired Caribou,Nuregami no Karibu,Karibu";"210,000,000";Numa Numa no Mi;Logia;"Chapter 600; Episode 519";228 cm;Pirate Captain;Kidnapper;North Blue;Alive;Caribou;https://static.wikia.nocookie.net/onepiece/images/7/76/Caribou_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Caribou;;;Équipage de CaribouÉquipage de Barbe Noire(allié);32 ans;;;;;;;;;;;Numa Numa no Mi;Fruit du Marais;Logia;;;"""Caribou la Mèche Molle""; ""Caribou à la tignasse humide"" (濡れ髪のカリブー, Nuregami no Karibū)";;XF (AB);;4 Juillet;;Caribou;;;Caribou;;カリブー;;Karibù;;;;Capitaine Pirate;;North Blue;;;;;;"Chapitre 600 ; Épisode 519";210 000 000;;;;Marais;Vivant;2m28;;;Arnaud Léonard(519-572)Maxime Donnay(919+);Masaki Terasoma
carrot;Carrot;Mokomo Dukedom;"Ninja-Pirate-Mink-Samurai Alliance, Inuarashi Musketeer Squad";15;Kyarotto;;;;"Chapter 804; Episode 753";161 cm;Ruler of Mokomo Dukedom;"Musketeer; Kingsbird";Mokomo Dukedom;Alive;Carrot;https://static.wikia.nocookie.net/onepiece/images/e/e2/Carrot_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Carrot;;;Zou Unité des mousquetaires;15 ans;;;;;;;;;;;;;;;;;;F (B);;24 Mai;;Carrot;;;Carrot;;キャロット;;Kyarotto;;;;Souverain du Royaume de MokomoMembre de l'unité des mousquetairesOiseau Royal;;Zou (Principauté de Mokomo);;;;;;"Chapitre 804 ; Épisode 753";;;;;;Vivante;1m61;;;;
catarina-devon;Catarina Devon;Blackbeard Pirates;Impel Down;36;"Crescent Moon Hunter,Mikazuki-gari,Katarina Debon";Unknown;"Inu Inu no Mi, Model: Kyubi no Kitsune";Mythical Zoan;"Chapter 575; Episode 484";361 cm;Titanic Captain (Captain of the Sixth Ship);Prisoner of the Great Prison;South Blue;Alive;Catarina Devon;https://static.wikia.nocookie.net/onepiece/images/a/a9/Catarina_Devon_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Catarina_Devon;;;Équipage de Barbe NoireImpel Down;34 ans (avant ellipse)36 ans (après ellipse);;;;;;;;;;;"Inu Inu no Mi, modèle Kyubi no Kitsune";"Fruit du canidé de type Zoan mythique, version Renard à Neuf Queues";Zoan Mythique;;;"""La Chasseresse de Nouvelle Lune"" (若（みか）月（づき）狩（が）り, Mikazuki Gari?)";;F;Île de Ruche;29 mars;;Catarina Devon;;;Catarina Devon;;カタリーナ・デボン;;Katarīna Debon;;;;PirateCommandante de la 6e flotte de Équipage de Barbe NoirePrisonnière d'Impel Down;;South Blue;;;;;;"Chapitre 575 ; Épisode 484";Au moins 100.000.000;;;Bélier;"Chien ; Renard à Neuf Queues";Vivante;3m61;;;;
cavendish;Cavendish;Beautiful Pirates;"Straw Hat Grand Fleet,Bourgeois Kingdom";26;"Hakuba,Cavendish of the White Horse,Hakuba no Kyabendisshu,'White Knight Cavendish,Pirate Prince,Kaizoku Kikoshi,'Pirate Noble,Funimation: 'Pirate Nobleman,Kyabendisshu";"330,000,000";;;"Chapter 704; Episode 632";208 cm;Captain of the First Ship of the Straw Hat Grand Fleet;"Pirate Captain; Prince of the Bourgeois Kingdom";Bourgeois Kingdom;Alive;Cavendish;https://static.wikia.nocookie.net/onepiece/images/a/a1/Cavendish_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Cavendish;;;Équipage des Magnifiques Pirates La Grande Flotte du Chapeau de Paille Royaume Bourgeois;26 ans;"Hakuba (ハクバ, Hakuba)";;;;;;;;;;;;;;;"- ""Cavendish au Cheval Blanc"" (白馬のキャベンディッシュ, Hakuba no Kyabendisshu); - ""Prince des pirates"" (海賊貴, Kaizoku Kikōshi)";;XF;;31 Août;;Cavendish;;;Cavendish;;キャベンディッシュ;;Kyabendisshu;;;;Capitaine Pirate Prince Épéiste;;Grand Line (Royaume Bourgeois);;;;;;"Chapitre 704; Épisode 632";330 000 000 280 000 000;;;;;Vivant;2m08;;;;
cesar-clown;Cesar Clown;NEO MADS;"Donquixote Pirates,Marines,MADS";55;"Cedar,Shida,Gangster' Gastino,Gyangusuta Gasutino,Master,M,Masuta,Shiza Kuraun";"300,000,000";Gasu Gasu no Mi;Logia;"Chapter 658; Episode 581";309 cm;Scientist;;Grand Line;Alive;César Clown;https://static.wikia.nocookie.net/onepiece/images/5/53/C%C3%A9sar_Clown_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:César_Clown;;;Équipage du Fire Tank L'Équipage de Don Quichotte Doflamingo Marines MADS Néo Mads;55 ans;;;;;;;;;;;Gasu Gasu no Mi;Fruit du gaz;Logia;;;"""Master""（マスター, Masutā)""Gangster Gastino"" (“ギャングスター”ガスティーノ, Gyangusutā Gasutīno)";;X;;9 Avril;;César Clown;;;César Clown;;シーザー・クラウン;;Shīzā Kuraun;;;;Scientifique;;Grand Line;;;;;;"Chapitre 658 ; Épisode 581";300 000 000;;;;Gaz;Vivant;3m09;;;;
chadros-higelyges;Chadros Higelyges;Caesar Clown;"Brownbeard Pirates , Centaur Patrol Unit ";45;"Brownbeard,Chahige,Boss,as Centaur Patrol Unit Leader,Chadorosu Higerigesu";"80,060,000";;;"Chapter 581; Episode 490";691 cm;Leader of the Centaur Patrol Unit;Pirate Captain;Grand Line;Alive;Chadros Higelyges;https://static.wikia.nocookie.net/onepiece/images/b/b4/Chadros_Higelyges_Anime_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Chadros_Higelyges;;;César Clown Unité de Patrouille Centaure L'Équipage de Barbe Brune (dissous);43 ans (au début)45 ans (après ellipse);;;;;;;;;;;;;;;;"""Barbe Brune"" (茶ひげ, Chahige)";;S;;3 février;;Chadros Higelyges;;Chadros Higelyges;Chadros Higelyges;;チャドロス・ヒゲリゲス;;Chadorosu Higerigesu;;;;Chef de l'Unité de patrouille Centaure Capitaine pirate;;Grand Line;;;;;;"Chapitre 581 ; Épisode 490";80.060.000;;;;;Vivant;6m91;;;;
charlotte-brulee;Charlotte Brulee;Charlotte Family;Big Mom Pirates;43;Sharotto Buryure;;Mira Mira no Mi;Paramecia;"Chapter 831; Episode 791";350 cm;Pirate Officer;;Grand Line;Alive;Charlotte Brûlée;https://static.wikia.nocookie.net/onepiece/images/d/d9/Charlotte_Br%C3%BBl%C3%A9e_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Charlotte_Brûlée;;;Famille CharlotteL'Équipage de Big Mom;43 ans;;;;;;;;;;;Mira Mira no Mi;Fruit du miroir;Paramecia;;;;;S (O);Whole Cake IslandMonde des Miroirs;6 Mars;;Charlotte Brûlée;;;Charlotte Brûlée;;シャーロット・ブリュレ;;Shārotto Buryure;;;;Pirate;;Grand Line (dans un port inconnu);;;;;;"Chapitre 832 ; Épisode 791";;;;;Miroir;Vivante;3m50;;;;
charlotte-chiffon;Charlotte Chiffon;Fire Tank Pirates;Charlotte Family ;26;Sharotto Shifon;;;;"Chapter 825; Episode 783";215 cm;Cook;Minister of Puff;Totto Land;Alive;Charlotte Chiffon;https://static.wikia.nocookie.net/onepiece/images/6/6d/Charlotte_Chiffon_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Charlotte_Chiffon;;;"Famille Charlotte; L'Équipage du Fire Tank";26 ans;;;;;;;;;;;;;;;;;;F (B);Île Moelleuse (Fluffy Town);27 Janvier;;Charlotte Chiffon;;;Charlotte Chiffon;;シャーロット・シフォン;;Shārotto Shifon;;;;"Cuisinière; ""Ministre Moelleux"" (ふんわり大臣, Funwari Daijin) anciennement";;Grand Line (Archipel Totto Land);;;;;;"Chapitre 825; Épisode 783";;;;;;Vivante;2m15;;;;
charlotte-cracker;Charlotte Cracker;Charlotte Family;Big Mom Pirates;45;"Thousand Arms Cracker,Senju no Kurakka,Biscuit Knight,Bisuketto no Kishi,Sharotto Kurakka";"860,000,000";Bisu Bisu no Mi;Paramecia;"Chapter 835; Episode 796";307 cm;Sweet Commander;Minister of Biscuit;Grand Line;Alive;Charlotte Cracker;https://static.wikia.nocookie.net/onepiece/images/6/64/Charlotte_Cracker_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Charlotte_Cracker;;;"Famille Charlotte;Équipage de Big Mom";45 ans;;;;;;;;;;;Bisu Bisu no Mi;Fruit du Biscuit;Paramecia;;;"""Cracker aux Mille Bras"" (千手のクラッカ, Senju no Kurakkā);""Le Chevalier Biscuit"" (ビスケットの騎士, Bisuketto no Kishi)";;X (A);Île Biscuit (Cookie Town);28 Février;;Charlotte Cracker;;;Charlotte Cracker;;シャーロット・クラッカー;;Shārotto Kurakkā;;;;"Pirate;Ministre Biscuit;Général Sucré";;Grand Line (sur un navire);;;;;;"Chapitre 835; Épisode 796";860.000.000;;;;Biscuit;Inconnu;3m07;;;;
charlotte-daifuku;Charlotte Daifuku;Charlotte Family;Big Mom Pirates;48;Sharotto Daifuku;"300,000,000";Hoya Hoya no Mi;Paramecia;"Chapter 861; Episode 826";489 cm;Pirate Officer;Minister of Beans;Grand Line;Alive;Charlotte Daifuku;https://static.wikia.nocookie.net/onepiece/images/c/cd/Charlotte_Daifuku_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Charlotte_Daifuku;;;"Famille Charlotte; Équipage de Big Mom";48 ans;;;;;;;;;;;Hoya Hoya no Mi;Fruit de la lampe;Paramecia;;;;;X (A);Île Croquante (Bean Town);25 Novembre;;Charlotte Daifuku;;;Charlotte Daifuku;;シャーロット·ダイフク;;Shārotto Daifuku;;;;"""Ministre Haricot"" (豆大臣, Mame Daijin) ; Pirate";;Grand Line (sur un navire);;;;;;Chapitre 861Épisode 826;300.000.000;;;;Son que dégage la fumée;Vivant;4m89;;;;
charlotte-flampe;Charlotte Flampe;Charlotte Family;Big Mom Pirates;15;Sharotto Furanpe;;;;"Chapter 891; Episode 865";170 cm;Pirate Officer;"Minister of Honey; Special Attack Unit Captain; Katakuri Fan Club President";Totto Land;Alive;Charlotte Flampe;https://static.wikia.nocookie.net/onepiece/images/9/91/Charlotte_Flampe_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Charlotte_Flampe;;;"Famille Charlotte; L'Équipage de Big Mom; Fan Club de Katakuri";15 ans;;;;;;;;;;;;;;;;;;S (O);Île Miel (Honey Town);11 Février;;Charlotte Flampe;;;Charlotte Flampée;;シャーロット・フランペ;;Shārotto Furanpe;;;;"Pirate; ""Ministre Miel"" (はちみつ大臣, Hachimitsu Daijin); Capitaine des Forces Spéciales; Présidente du Fan Club de Katakuri";;Grand Line (Archipel Totto Land);;;;;;"Chapitre 891; Épisode 865";;;;;;Vivante;1.70 m;;;;
charlotte-katakuri;Charlotte Katakuri;Charlotte Family;Big Mom Pirates;48;Sharotto Katakuri;"1,057,000,000";Mochi Mochi no Mi;Special Paramecia;"Chapter 860; Episode 825";509 cm;Sweet Commander;Minister of Flour;Grand Line;Alive;Charlotte Katakuri;https://static.wikia.nocookie.net/onepiece/images/2/2e/Charlotte_Katakuri_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Charlotte_Katakuri;;;Équipage de Big MomFamille Charlotte;48 ans;;;;;;;;;;;Mochi Mochi no Mi;Fruit du Riz Gluant;Paramecia;;;;;XF (AB);Île Blé (Flour Town);25 Novembre;;Katakuri;;;Charlotte Dent-de-Chien (Manga)Charlotte Katakuri (Anime);;シャーロット·カタクリ;;Shārotto Katakuri;;;;PirateGénéral SucréMinistre de la Farine;;Grand Line (sur un navire);;;;;;"Chapitre 860 ; Épisode 825";1 057 000 000;;;;Mochi;Vivant;5m09;;;;
charlotte-laura;Charlotte Laura;Rolling Pirates;"Charlotte Family,Thriller Bark Victim's Association";26;"Marriage Proposal Lola,Kyukon no Rora,English versions: 'Lola the Proposer,Sharotto Rora";"24,000,000";;;"Chapter 476; Episode 370";215 cm;Pirate Captain;Minister of Chocolate;Totto Land;Alive;Charlotte Laura;https://static.wikia.nocookie.net/onepiece/images/b/ba/Charlotte_Laura_Manga_Post_Ellipse_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Charlotte_Laura;;;L'Équipage du RollingAssociation des Victimes de Thriller Bark Famille Charlotte;24 ans (avant ellipse)26 ans (après ellipse);;;;;;;;;;;;;;;;"""Laura l'Amoureuse"" (求婚のローラ,Kyūkon no Rōra)";;F (B);Île Cacao (Chocolate Town);27 Janvier;;Charlotte Laura;;;Charlotte Laura;;シャーロット・ローラ;;Shārotto Rōra;;;;"Capitaine PirateMinistre Chocolat (チョコレート大臣, Chokorēto Daijin)";;Grand Line (Archipel Totto Land);;;;;;"Chapitre 476 ; Épisode 370";24.000.000;;;;;Vivante;2m15;;;;
charlotte-linlin;Charlotte Linlin;Big Mom Pirates;"Rocks Pirates,Four Emperors,Charlotte Family";68;"O-Lin,Orin,English versions: 'Olin,Big Mom,Biggu Mamu,Funimation subs: Big Mam,Evil Spirit,Akujin,Sharotto Rinrin";"4,388,000,000";Soru Soru no Mi;Paramecia;"Chapter 651; Episode 571";880 cm;Pirate Captain;"Emperor; Queen of Totto Land";Grand Line;Unknown;Charlotte Linlin;https://static.wikia.nocookie.net/onepiece/images/d/d8/Charlotte_Linlin_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Charlotte_Linlin;;;L'Équipage de Rocks L'Équipage de Big MomQuatre EmpereursFamille Charlotte;68 ans;;;;;;;;;;;Soru Soru no Mi;Fruit des Âmes;Paramecia;;;"Big Mom (ビッグ・マム, Biggu Mamu) ""Mamma"" (ママ, Mama)";;X (A);Whole Cake IslandErbaf;15 Février;;Charlotte Linlin;;;Charlotte Linlin;;シャーロット・リンリン;;Shārotto Rinrin;;;;Pirate Capitaine PirateReine de Totto Land;;Grand Line;;;;;;"Chapitre 651 ; Épisode 571";50.000.000500.000.0004.388.000.000;;;;Âme;Inconnu;8m80;;;Brigitte Virtudes (Épisode 571)Monique Clémont (Épisode 786+)Fanny Fourquez (voix chantée);Toshiko Fujita(Épisode 571)Mami Koyama(Épisode 786+)
charlotte-mont-d-or;Charlotte Mont d'Or;Charlotte Family;Big Mom Pirates;38;"Scribe,Shoshi,'Book-Keeper,Sharotto Mondoru";"120,000,000";Buku Buku no Mi;Paramecia;"Chapter 829; Episode 789";260 cm;Pirate Officer;Minister of Cheese;Grand Line;Alive;Charlotte Mont d'Or;https://static.wikia.nocookie.net/onepiece/images/8/85/Charlotte_Mont_d%27Or_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Charlotte_Mont_d'Or;;;"L'Équipage de Big Mom; Famille Charlotte";38 ans;;;;;;;;;;;Buku Buku no Mi;Fruit du Livre;Paramecia;;;"""Le bibliothécaire"" (書司 Shoshi)";;X (A);Île Fromage (Cheese Town);23 Avril;;Charlotte Mont d'Or;;;Charlotte Mont d'or;;シャーロット·モンドール;;Shārotto Mondōru;;;;"Ministre du Fromage (チーズ大臣, Chīzu Daijin)";;Grand Line (sur un navire);;;;;;"Chapitre 829 ; Épisode 789";120.000.000;;;;Livre;Vivant;2.60 m;;;;
charlotte-oven;Charlotte Oven;Charlotte Family;Big Mom Pirates;48;Sharotto Obun;"300,000,000";Netsu Netsu no Mi;Paramecia;"Chapter 861; Episode 827";492 cm;Pirate Officer;Minister of Browned Food;Grand Line;Alive;Charlotte Oven;https://static.wikia.nocookie.net/onepiece/images/f/f0/Charlotte_Oven_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Charlotte_Oven;;;"Famille Charlotte; Équipage de Big Mom";48 ans;;;;;;;;;;;Netsu Netsu no Mi;Fruit de la Cuisson;Paramecia;;;;;F (B);Île Gâteau (Fluffy Town);25 Novembre;;Charlotte Oven;;;Charlotte Oven;;シャーロット·オーブン;;Shārotto Ōbun;;;;"Ministre Cuisson (こんがり大臣, Kongari Daijin); Officier de l'équipage de Big Mom";;Grand Line (sur un navire);;;;;;Chapitre 861Épisode 827;300.000.000;;;;Chaleur;Vivant;4m92;;;;
charlotte-perospero;Charlotte Perospero;Charlotte Family;Big Mom Pirates;50;Sharotto Perosupero;"700,000,000";Pero Pero no Mi;Paramecia;"Chapter 834; Episode 795";333 cm;Pirate Officer;Minister of Candy;Grand Line;Alive;Charlotte Perospero;https://static.wikia.nocookie.net/onepiece/images/7/7e/Charlotte_Perospero_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Charlotte_Perospero;;;"Famille Charlotte; Équipage de Big Mom";50 ans;;;;;;;;;;;Pero Pero no Mi;Fruit de la léchouille;Paramecia;;;;;X (A);Île Bonbon (Lick Town);14 Mars;;Charlotte Perospero;;;Charlotte Slurp;;シャーロット・ペロスペロー;;Shārotto Perosuperō;;;;"Ministre Bonbon (キャンディー大臣, Kyandī Daijin); Commandant pirate";;Grand Line (dans un port inconnu);;;;;;"Chapitre 834, Épisode 795";700.000.000;;;;Lécher;Vivant;3m33;;;;
charlotte-praline;Charlotte Praline;Sun Pirates;"Charlotte Family,Big Mom Pirates ";29;Sharotto Purarine;;;;"Chapter 830; Episode 790";800 cm;Minister of Design;Pirate;Totto Land;Alive;Charlotte Praline;https://static.wikia.nocookie.net/onepiece/images/1/11/Charlotte_Praline_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Charlotte_Praline;;;"Famille Charlotte;L'Équipage des Pirates du Soleil;L'Équipage de Big Mom";29 ans;;;;;;;;;;;;;;;;;;;Île Unique (Fancy Town);22 Juillet;;Charlotte Praline;;;Charlotte Praliné;;シャーロット・プラリネ;;Shārotto Purarine;;;;"Pirate; Ministre Design (デザイン大臣, Dezain Daijin)";;Archipel Totto Land;;;;;;"Chapitre 830 ; Épisode 790";;;;;;Vivante;8m00;;;;
charlotte-smoothie;Charlotte Smoothie;Charlotte Family;Big Mom Pirates;35;Sharotto Sumuji;"932,000,000";Shibo Shibo no Mi;Paramecia;"Chapter 846; Episode 812";464 cm;Sweet Commander;Minister of Juice;Totto Land;Alive;Charlotte Smoothie;https://static.wikia.nocookie.net/onepiece/images/c/c5/Charlotte_Smoothie_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Charlotte_Smoothie;;;"Famille Charlotte ; Équipage de Big Mom";35 ans;;;;;;;;;;;Shibo Shibo no Mi;Fruit du Presse-Presse;Paramecia;;;;;F (B);Île 100% (Juice Town);12 Octobre;;Charlotte Smoothie;;;Charlotte Smoothie;;シャーロット・スムージー;;Shārotto Sumūjī;;;;"Pirate ; Ministre Jus (ジュース大臣, Jūsu Daijin) ; Générale Sucrée";;Grand Line (Archipel Totto Land);;;;;;"Chapitre 846 ; Épisode 812";932.000.000;;;;Presser;Vivante;464 cm;;;;
