id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_aliases;en_wiki_bounty;en_wiki_dftype;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;fr_wiki_affiliation;fr_wiki_aliases;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_prime;final_age;final_height;final_status;final_premiere;final_dfname;final_bounty
boa-hancock;Boa Hancock;Kuja Pirates;Seven Warlords of the Sea,Gorgon Sisters;Snake Princess,Hebihime,Pirate Empress,Kaizoku Jotei,Boa Hankokku;1,659,000,000;Paramecia;Captain of the Kuja Pirates;"Empress of Amazon Lily; Warlord of the Sea; Slave";Amazon Lily;KujasL'Équipage des Pirates KujaSept grands corsaires;La Princesse serpent, L'Impératrice pirate, Boa Hancock, Boa Hankokku, Hebihime, Kaizoku Jotei;Paramecia;Amazon Lily;Pirate, Capitaine PirateImpératrice d'Amazon LilyEsclave;Amazon Lily;1.659.000.000 80.000.000;31 ans;191 cm;Vivant(e);"Chapitre 516 ; Épisode 409";Mero Mero no Mi;1 659 000 000
boa-marigold;Boa Marigold;Kuja Pirates;Gorgon Sisters;Boa Marigorudo;40,000,000;Zoan;Ruler of Amazon Lily;Slave;Amazon Lily;KujasL'Équipage des Pirates Kuja;Boa Marigold, Boa Marīgōrudo;Zoan;Amazon Lily;PirateEsclave;Amazon Lily;40.000.000;28 ans;432 cm;Vivant(e);"Chapitre 516 ; Épisode 409";Hebi Hebi no Mi, Model: King Cobra;40 000 000
boa-sandersonia;Boa Sandersonia;Kuja Pirates;Gorgon Sisters;Boa Sandasonia;40,000,000;Zoan;Ruler of Amazon Lily;Slave;Amazon Lily;KujasL'Équipage des Pirates Kuja;Boa Sandersonia, Boa Sandāsonia;Zoan;Amazon Lily;PirateEsclave;Amazon Lily;40.000.000;30 ans;453 cm;Vivant(e);"Chapitre 516 ; Épisode 409";Hebi Hebi no Mi, Model: Anaconda;40 000 000
borsalino;Borsalino;Marines;Aucune;Kizaru,literally meaning 'Yellow Monkey,Borusarino;3,000,000,000;Logia;Admiral;Vice Admiral;North Blue;Marines;Kizaru, Borsalino, Borusarīno, Singe Jaune;Logia;;AmiralVice-Amiral;North Blue;3,000,000,000;58 ans;302 cm;Vivant(e);"Chapitre 504 ; Épisode 398";Pika Pika no Mi;3 000 000 000
brannew;Brannew;Marines;Aucune;Buran'nyu;100,000,000;;Commodore;Lieutenant Commander;Grand Line;Marines;Brand New, Brannew, Brandnew, Burannyū;;;Contre-Amiral Commandant;Grand Line;;56 ans;190 cm;Vivant(e);"Chapitre 96 ; Épisode 45";Aucun;Au moins 100 000 000
brogy;Brogy;Giant Warrior Pirates;Aucune;Brogy the Red Ogre,Aka-Oni no Burogi,Burogi;1,800,000,000;;Pirate Captain;;Elbaph;Équipage des Géants;Broggy, Brogy le Démon Rouge, Brogy, Burogī, Aka Oni no Burogī;;;Capitaine;Erbaf;100.000.000 1.800.000.000;160 ans;2130 cm;Vivant(e);"Chapitre 115 ; Épisode 71";Aucun;1 800 000 000
brook;Brook;Straw Hat Pirates;Straw Hat Grand Fleet,Rumbar Pirates,Ninja-Pirate-Mink-Samurai Alliance;Demon King Satan-sama,Akuma-o Satan-sama,[EN][-]'Great Demon Lord,Funimation subs: 'King of the Devils - Satan-sama,Funimation dub: 'Lord Satan,Hone-kichi,Honekichi,[EN][-]English versions: Bonekichi,The Starving Skeleton,Gashadokuro,Humming Brook,Hanauta no Burukku,Soul King,Souru Kingu,Burukku;383,000,000;Paramecia;Musician;"Swordsman; Senior Officer; Pirate Captain; Battle Convoy leader; World-Famous Rock Star";West Blue;L'Équipage du Chapeau de Paille, L'Équipage du Rumbar;Le Gentleman Squelette, Os Mort, L'Escrimeur Fredonneur, Brook le Fredonneur, Soul King, Brook, Burukku, Hanauta no Burukku, Souru Kingu;Paramecia;Triangle de Florian, Île de Namakura;Musicien, Escrimeur, Pirate, Capitaine Pirate Second Capitaine d'un convoi de bataille;West Blue;383.000.00083.000.00033.000.000;90 ans;277 cm;Vivant(e);"Chapitre 442 ; Épisode 337";Yomi Yomi no Mi;383 000 000
buchi;Buchi;Black Cat Pirates;Aucune;Nyaban Brothers,Nyaban Burazazu,English versions: 'Meowban Brothers,Buchi;7,000,000;;Pirate Officer;Ship Guard;East Blue;L'Équipage du Chat Noir;Tigré, Buchi;;;Pirates;East Blue;7,000,000, avec Sham;23 ans;216 cm;Vivant(e);"Chapitre 31 ; Épisode 13";Aucun;7 000 000
buffalo;Buffalo;Donquixote Pirates;Aucune;Baffaro;;Paramecia;Pirate Officer;"Combatant; Assassin";North Blue;L'Équipage de Don Quichotte Doflamingo;Buffalo, Baffarō;Paramecia;Spider Miles Dressrosa;Pirate;North Blue;;30 ans;696 cm;Vivant(e);"Chapitre 692 ; Épisode 618";Guru Guru no Mi;Inconnu
cabaji;Cabaji;Cross Guild;Buggy's Delivery,Buggy and Alvida Alliance, Buggy Pirates;Cabaji the Acrobat,Kyokugi no Kabaji,Kabaji;;;Pirate;"Chief of Staff; Acrobat; Swordsman";East Blue;L'Équipage du Clown;"Carnage, Cabaji ""l'Acrobate, Cabaji, Kabaji, Kyokugi no Kabaji";;;"Pirate; Lieutenant de L'Équipage du Clown; Aide de camp";East Blue;;34 ans;208 cm;Vivant(e);"Chapitre 9 ; Épisode 7";Aucun;Inconnu
capone-bege;Capone Bege;Fire Tank Pirates;Big Mom Pirates;Gang,Gyangu,Kapone Bejji;350,000,000;Paramecia;Pirate;"Captain; Mafia don; Combatant";West Blue;Équipage du Fire TankÉquipage de Big Mom;Gang, Capone Bege, Kapone Bejji, Gyangu;Paramecia;;Capitaine Pirate;West Blue;138.000.000300.000.000350.000.000;42 ans;166 cm;Vivant(e);"Chapitre 498 ; Épisode 392";Shiro Shiro no Mi;350 000 000
caribou;Caribou;Caribou Pirates;Fake Straw Hat Crew,Ninja-Pirate-Mink-Samurai Alliance;Wet-Haired Caribou,Nuregami no Karibu,Karibu;210,000,000;Logia;Pirate Captain;Kidnapper;North Blue;Équipage de CaribouÉquipage de Barbe Noire;"Caribou la Mèche Molle""; ""Caribou à la tignasse humide, Caribou, Karibù, Nuregami no Karibū";Logia;;Capitaine Pirate;North Blue;210 000 000;32 ans;228 cm;Vivant(e);"Chapitre 600 ; Épisode 519";Numa Numa no Mi;210 000 000
carrot;Carrot;Mokomo Dukedom;Ninja-Pirate-Mink-Samurai Alliance, Inuarashi Musketeer Squad;Kyarotto;;;Ruler of Mokomo Dukedom;"Musketeer; Kingsbird";Mokomo Dukedom;Zou Unité des mousquetaires;Carrot, Kyarotto;;;Souverain du Royaume de MokomoMembre de l'unité des mousquetairesOiseau Royal;Zou, Principauté de Mokomo;;15 ans;161 cm;Vivant(e);"Chapitre 804 ; Épisode 753";Aucun;Aucune
catarina-devon;Catarina Devon;Blackbeard Pirates;Impel Down;Crescent Moon Hunter,Mikazuki-gari,Katarina Debon;Unknown;Mythical Zoan;Titanic Captain, Captain of the Sixth Ship;Prisoner of the Great Prison;South Blue;Équipage de Barbe NoireImpel Down;La Chasseresse de Nouvelle Lune, Catarina Devon, Katarīna Debon, Mikazuki Gari;Zoan Mythique;Île de Ruche;PirateCommandante de la 6e flotte de Équipage de Barbe NoirePrisonnière d'Impel Down;South Blue;100.000.000;36 ans;361 cm;Vivant(e);"Chapitre 575 ; Épisode 484";Inu Inu no Mi, Model: Kyubi no Kitsune;Inconnu
cavendish;Cavendish;Beautiful Pirates;Straw Hat Grand Fleet,Bourgeois Kingdom;Hakuba,Cavendish of the White Horse,Hakuba no Kyabendisshu,'White Knight Cavendish,Pirate Prince,Kaizoku Kikoshi,'Pirate Noble,Funimation: 'Pirate Nobleman,Kyabendisshu;330,000,000;;Captain of the First Ship of the Straw Hat Grand Fleet;"Pirate Captain; Prince of the Bourgeois Kingdom";Bourgeois Kingdom;Équipage des Magnifiques Pirates La Grande Flotte du Chapeau de Paille Royaume Bourgeois;"Hakuba, Cavendish au Cheval Blanc"" ; - ""Prince des pirates, Cavendish, Kyabendisshu, Hakuba no Kyabendisshu, Kaizoku Kikōshi";;;Capitaine Pirate Prince Épéiste;Grand Line, Royaume Bourgeois;330 000 000 280 000 000;26 ans;208 cm;Vivant(e);"Chapitre 704 ; Épisode 632";Aucun;330 000 000
cesar-clown;Cesar Clown;NEO MADS;Donquixote Pirates,Marines,MADS;Cedar,Shida,Gangster' Gastino,Gyangusuta Gasutino,Master,M,Masuta,Shiza Kuraun;300,000,000;Logia;Scientist;;Grand Line;Équipage du Fire Tank L'Équipage de Don Quichotte Doflamingo Marines MADS Néo Mads;Master, Gangster Gastino, César Clown, Shīzā Kuraun, Masutā, Gyangusutā Gasutīno;Logia;;Scientifique;Grand Line;0;55 ans;309 cm;Vivant(e);"Chapitre 658 ; Épisode 581";Gasu Gasu no Mi;300 000 000
chadros-higelyges;Chadros Higelyges;Caesar Clown;Brownbeard Pirates, Centaur Patrol Unit;Brownbeard,Chahige,Boss,as Centaur Patrol Unit Leader,Chadorosu Higerigesu;80,060,000;;Leader of the Centaur Patrol Unit;Pirate Captain;Grand Line;César Clown Unité de Patrouille Centaure L'Équipage de Barbe Brune;Barbe Brune, Chadros Higelyges, Chadorosu Higerigesu, Chahige;;;Chef de l'Unité de patrouille Centaure Capitaine pirate;Grand Line;80.060.000;45 ans;691 cm;Vivant(e);"Chapitre 581 ; Épisode 490";Aucun;80 060 000
charlotte-brulee;Charlotte Brulee;Charlotte Family;Big Mom Pirates;Sharotto Buryure;;Paramecia;Pirate Officer;;Grand Line;Famille CharlotteL'Équipage de Big Mom;Charlotte Brûlée, Shārotto Buryure;Paramecia;Whole Cake IslandMonde des Miroirs;Pirate;Grand Line, dans un port inconnu;;43 ans;350 cm;Vivant(e);"Chapitre 831 ; Épisode 791";Mira Mira no Mi;Inconnu
charlotte-chiffon;Charlotte Chiffon;Fire Tank Pirates;Charlotte Family;Sharotto Shifon;;;Cook;Minister of Puff;Totto Land;"Famille Charlotte; L'Équipage du Fire Tank";Charlotte Chiffon, Shārotto Shifon;;Île Moelleuse, Fluffy Town;"Cuisinière; ""Ministre Moelleux"", Funwari Daijin anciennement";Archipel Totto Land;;26 ans;215 cm;Vivant(e);"Chapitre 825 ; Épisode 783";Aucun;Inconnu
charlotte-cracker;Charlotte Cracker;Charlotte Family;Big Mom Pirates;Thousand Arms Cracker,Senju no Kurakka,Biscuit Knight,Bisuketto no Kishi,Sharotto Kurakka;860,000,000;Paramecia;Sweet Commander;Minister of Biscuit;Grand Line;"Famille Charlotte;Équipage de Big Mom";"Cracker aux Mille Bras"" ;""Le Chevalier Biscuit, Charlotte Cracker, Shārotto Kurakkā, Senju no Kurakkā, Bisuketto no Kishi";Paramecia;Île Biscuit, Cookie Town;"Pirate;Ministre Biscuit;Général Sucré";Grand Line;860.000.000;45 ans;307 cm;Vivant(e);"Chapitre 835 ; Épisode 796";Bisu Bisu no Mi;860 000 000
charlotte-daifuku;Charlotte Daifuku;Charlotte Family;Big Mom Pirates;Sharotto Daifuku;300,000,000;Paramecia;Pirate Officer;Minister of Beans;Grand Line;"Famille Charlotte; Équipage de Big Mom";Charlotte Daifuku, Shārotto Daifuku;Paramecia;Île Croquante, Bean Town;"""Ministre Haricot"", Mame Daijin ; Pirate";Grand Line;300.000.000;48 ans;489 cm;Vivant(e);"Chapitre 861 ; Épisode 826";Hoya Hoya no Mi;300 000 000
charlotte-flampe;Charlotte Flampe;Charlotte Family;Big Mom Pirates;Sharotto Furanpe;;;Pirate Officer;"Minister of Honey; Special Attack Unit Captain; Katakuri Fan Club President";Totto Land;"Famille Charlotte; L'Équipage de Big Mom; Fan Club de Katakuri";Charlotte Flampe, Charlotte Flampée, Shārotto Furanpe;;Île Miel, Honey Town;"Pirate; ""Ministre Miel"", Hachimitsu Daijin; Capitaine des Forces Spéciales; Présidente du Fan Club de Katakuri";Archipel Totto Land;;15 ans;170 cm;Vivant(e);"Chapitre 891 ; Épisode 865";Aucun;Inconnu
charlotte-katakuri;Charlotte Katakuri;Charlotte Family;Big Mom Pirates;Sharotto Katakuri;1,057,000,000;Special Paramecia;Sweet Commander;Minister of Flour;Grand Line;Équipage de Big MomFamille Charlotte;Katakuri, Charlotte Dent-de-Chien Charlotte Katakuri, Shārotto Katakuri, Manga, Anime;Paramecia;Île Blé, Flour Town;PirateGénéral SucréMinistre de la Farine;Grand Line;1 057 000 000;48 ans;509 cm;Vivant(e);"Chapitre 860 ; Épisode 825";Mochi Mochi no Mi;1 057 000 000
charlotte-laura;Charlotte Laura;Rolling Pirates;Charlotte Family,Thriller Bark Victim's Association;Marriage Proposal Lola,Kyukon no Rora,English versions: 'Lola the Proposer,Sharotto Rora;24,000,000;;Pirate Captain;Minister of Chocolate;Totto Land;L'Équipage du RollingAssociation des Victimes de Thriller Bark Famille Charlotte;Laura l'Amoureuse, Charlotte Laura, Shārotto Rōra, Kyūkon no Rōra;;Île Cacao, Chocolate Town;Capitaine PirateMinistre Chocolat, Chokorēto Daijin;Archipel Totto Land;24.000.000;26 ans;215 cm;Vivant(e);"Chapitre 476 ; Épisode 370";Aucun;24 000 000
charlotte-linlin;Charlotte Linlin;Big Mom Pirates;Rocks Pirates,Four Emperors,Charlotte Family;O-Lin,Orin,English versions: 'Olin,Big Mom,Biggu Mamu,Funimation subs: Big Mam,Evil Spirit,Akujin,Sharotto Rinrin;4,388,000,000;Paramecia;Pirate Captain;"Emperor; Queen of Totto Land";Grand Line;L'Équipage de Rocks L'Équipage de Big MomQuatre EmpereursFamille Charlotte;"Big Mom ""Mamma, Charlotte Linlin, Shārotto Rinrin, Biggu Mamu, Mama";Paramecia;Whole Cake IslandErbaf;Pirate Capitaine PirateReine de Totto Land;Grand Line;50.000.000500.000.0004.388.000.000;68 ans;880 cm;Inconnu;"Chapitre 651 ; Épisode 571";Soru Soru no Mi;4 388 000 000
charlotte-mont-d-or;Charlotte Mont d'Or;Charlotte Family;Big Mom Pirates;Scribe,Shoshi,'Book-Keeper,Sharotto Mondoru;120,000,000;Paramecia;Pirate Officer;Minister of Cheese;Grand Line;"L'Équipage de Big Mom; Famille Charlotte";Le bibliothécaire, Charlotte Mont d'Or, Shārotto Mondōru, Shoshi;Paramecia;Île Fromage, Cheese Town;Ministre du Fromage, Chīzu Daijin;Grand Line;120.000.000;38 ans;260 cm;Vivant(e);"Chapitre 829 ; Épisode 789";Buku Buku no Mi;120 000 000
charlotte-oven;Charlotte Oven;Charlotte Family;Big Mom Pirates;Sharotto Obun;300,000,000;Paramecia;Pirate Officer;Minister of Browned Food;Grand Line;"Famille Charlotte; Équipage de Big Mom";Charlotte Oven, Shārotto Ōbun;Paramecia;Île Gâteau, Fluffy Town;"Ministre Cuisson, Kongari Daijin; Officier de l'équipage de Big Mom";Grand Line;300.000.000;48 ans;492 cm;Vivant(e);"Chapitre 861 ; Épisode 827";Netsu Netsu no Mi;300 000 000
charlotte-perospero;Charlotte Perospero;Charlotte Family;Big Mom Pirates;Sharotto Perosupero;700,000,000;Paramecia;Pirate Officer;Minister of Candy;Grand Line;"Famille Charlotte; Équipage de Big Mom";Charlotte Perospero, Charlotte Slurp, Shārotto Perosuperō;Paramecia;Île Bonbon, Lick Town;"Ministre Bonbon, Kyandī Daijin; Commandant pirate";Grand Line, dans un port inconnu;700.000.000;50 ans;333 cm;Vivant(e);"Chapitre 834 ; Épisode 795";Pero Pero no Mi;700 000 000
charlotte-praline;Charlotte Praline;Sun Pirates;Charlotte Family,Big Mom Pirates;Sharotto Purarine;;;Minister of Design;Pirate;Totto Land;"Famille Charlotte;L'Équipage des Pirates du Soleil;L'Équipage de Big Mom";Charlotte Praline, Shārotto Purarine;;Île Unique, Fancy Town;"Pirate; Ministre Design, Dezain Daijin";Archipel Totto Land;;29 ans;800 cm;Vivant(e);"Chapitre 830 ; Épisode 790";Aucun;Inconnu
charlotte-smoothie;Charlotte Smoothie;Charlotte Family;Big Mom Pirates;Sharotto Sumuji;932,000,000;Paramecia;Sweet Commander;Minister of Juice;Totto Land;"Famille Charlotte ; Équipage de Big Mom";Charlotte Smoothie, Shārotto Sumūjī;Paramecia;Île 100%, Juice Town;"Pirate ; Ministre Jus, Jūsu Daijin ; Générale Sucrée";Archipel Totto Land;932.000.000;35 ans;464 cm;Vivant(e);"Chapitre 846 ; Épisode 812";Shibo Shibo no Mi;932 000 000
chess;Chess;Bliking Pirates;Drum Kingdom;Chesu;;;Evil Chief of Staff, Chief of Staff;Pirate;Drum Kingdom;L’Équipage de Wapol, Royaume des Cerisiers;Chess, Chesu;;;Chef d' état-major maléfique, Chef du personnel, Pirate Tireur d'Elite;Île de Drum;;32 ans;194 cm;Vivant(e);"Chapitre 131 ; Épisode 78";Aucun;Inconnu
chimney;Chimney;Kokoro;Aucune;Chimuni;;;Sunday stationmaster of the Shift Station;;Water 7;Gare de Shift;Chimney, Chimuni;;Water Seven, Gare de Shift;Chef de la gare Shift Station, seulement le Dimanche;Water Seven;;10 ans;115 cm;Vivant(e);"Chapitre 322 ; Épisode 229";Aucun;Aucune
chinjao;Chinjao;Chinjao Family;Happo Navy,Straw Hat Grand Fleet;Don Chinjao,Chinjao the Drill,Kiri no Chinjao,Chinjao;542,000,000;;12th Leader of the Happo Navy;Pirate;Kano Country;Gang du Pays des Fleurs, Famille Chinjao, Flotte de Happou;Le Trépan, Chinjao, Don Chinjao, Kiri no Chinjao;;;Ex-Leader de la Flotte de HappouEx-Commandant de la Flotte de Happou 12ème, Pirate;Pays des Fleurs;542 000 000, 30 ans auparavant;78 ans;520 cm;Vivant(e);"Chapitre 704 ; Épisode 632";Aucun;542 000 000
chouchou;Chouchou;Hocker;Aucune;Shushu;;;Pet;Pet Shop Keeper;Organ Islands;Hokker;Chouchou, Shushu;;Orange Town;Animal;Archipel des Orgao;;14 ans;40 cm;Vivant(e);"Chapitre 12 ; Épisode 6";Aucun;Aucune
conis;Conis;Pumpkin Cafe;Aucune;Konisu;;;Waitress;;Skypiea;Café Potiron;Conis, Konisu;;;Habitante d'Angel Beach;Skypiea;;21 ans;176 cm;Vivant(e);"Chapitre 239 ; Épisode 154";Aucun;Aucune
coribou;Coribou;Caribou Pirates;Fake Straw Hat Crew;Blood-Splatterer' Coribou,Kaerichi no Koribu,Koribu;190,000,000;;Pirate;Captain;North Blue;L'Équipage de Caribou Faux Équipage du Chapeau de Paille;Coribou L'Arroseur Sanguinaire, Coribou, Koribū;;;Pirate;North Blue;190.000.000;29 ans;250 cm;Vivant(e);"Chapitre 600 ; Épisode 519";Aucun;190 000 000
crocodile;Crocodile;Cross Guild;Seven Warlords of the Sea,Baroque Works,Impel Down;Mr. 0,Misuta Zero,Sir Crocodile,Sa Kurokodairu,Desert King,Sabaku no O,Kurokodairu;1,965,000,000;Logia;Pirate;"Cross Guild Officer; Baroque Works President; Proprietor of Rain Dinners; Prisoner of the Great Prison";Grand Line;Cross GuildSept grands corsaires Baroque Works Pègre;Mr 0, Sir Crocodile, Crocodile, Kurokodairu, Misutā Zero, Sā Kurokodairu;Logia;Royaume d'Alabasta, Rainbase, Île de Kalai Bali;PirateGrand corsaire Boss de Baroque Works;Grand Line;1.965.000.000Montant inconnu81.000.000;46 ans;253 cm;Vivant(e);"Chapitre 126 ; Épisode 76";Suna Suna no Mi;1 965 000 000
crocus;Crocus;Roger Pirates;Laboon;Kurokkasu;Unknown;;Doctor;"Lighthouse Keeper; Pirate";Grand Line;Phare du Cap des Jumeaux Équipage des Pirates de Roger;Crocus, Kurokkasu;;Cap des Jumeaux;Docteur Pirate Gardien de Phare;Grand Line;Inconnue;73 ans;203 cm;Vivant(e);"Chapitre 102 ; Épisode 62";Aucun;Inconnu
curly-dadan;Curly Dadan;Dadan Family;Aucune;Kari Dadan;7,800,000;;Mountain Bandit Boss;Caretaker of Monkey D. Luffy, Portgas D. Ace, and Sabo;East Blue;Bandits des montagnes;Curly Dadan, Kārī Dadan;;Mont Corvo;BanditsMère d'accueil d'Ace, Luffy et Sabo;East Blue;7.800.000;55 ans;221 cm;Vivant(e);"Chapitre 582 ; Épisode 493";Aucun;7 800 000
dalton;Dalton;Sakura Kingdom;Aucune;Doruton;;Zoan;King of the Sakura Kingdom;"Captain of the Civilian Guard; Captain of Security of the Drum Kingdom";Drum Kingdom;Royaume des CerisiersRoyaume de Drum;Dalton, Dolton, Doruton;Zoan;;Roi du Royaume des CerisiersHomme de main du Roi Wapol du Royaume de Drum capitaine de la sécurité Capitaine de la Garde civile;Île de Drum;;35 ans;218 cm;Vivant(e);"Chapitre 132 ; Épisode 79";Ushi Ushi no Mi, Model: Bison;Aucune
demalo-black;Demalo Black;Fake Straw Hat Crew;Aucune;Three-Tongued' Demalo Black,Sanmai-jita no Demaro Burakku,Viz,Funimation: 'Triple-Tongued,Demaro Burakku;26,000,000;;Pirate Captain;;East Blue;Faux Équipage du Chapeau de Paille;"Demalo Black ""Aux Trois Langues, Demalo Black, Demaro Black, Demaro Burakku, Sanmai-jita no Demaro Burakku";;Archipel des Sabaody;Capitaine Pirate;East Blue;26.000.000;36 ans;245 cm;Vivant(e);"Chapitre 598 ; Épisode 517";Aucun;26 000 000
den;Den;Ile des Hommes Poissons;Aucune;Den;;;Shipwright;"Sea Forest Researcher; Coating Mechanic";Ryugu Kingdom;Civil;Den;;;"Chercheur; Revêteur";Île des Hommes-Poissons, Royaume Ryugu;;62 ans;435 cm;Vivant(e);"Chapitre 616 ; Épisode 534";Aucun;Aucune
denjiro;Denjiro;Kouzuki Family;Nine Red Scabbards,Kyoshiro Family,Kurozumi Family,Ninja-Pirate-Mink-Samurai Alliance;Kyoshiro,Ushimitsu Kozo,Meaning 'Witching Hour Boy,Dozing Kyoshiro,Inemuri Kyoshiro,'Napping Kyoshiro,Denjiro;;;Daimyo;"Samurai; Retainer of the Kouzuki Family; Yakuza Boss; Money Changer; Thief";Wano Country;Pays de Wa Neuf Fourreaux Rouges Famille Kozuki Famille Kurozumi Famille Kyoshiro;"Kyoshiro le somnolent"" ; ""Môme du clair de lune, Denjiro, Inemuri Kyōshirō, Ushimitsu Kozō";;Pays des Wa, Capitale des fleurs;Daimyo Serviteur de la Famille Kozuki Samouraï Changeur de monnaie Yakuza Voleur;Pays des Wa;;47 ans;306 cm;Vivant(e);"Chapitre 919 ; Épisode 909";Aucun;Aucune
diamante;Diamante;Donquixote Pirates;Aucune;Diamante;99,000,000;Paramecia;Pirate Executive Officer;"Colosseum Proprietor; Swordsman";North Blue;Équipage de Don Quijote;Le Héros du Colisée, Diamante, Koroshiamu no Eiyū;Paramecia;Spider Miles Dressrosa;PirateGladiateur;North Blue;99.000.000;45 ans;525 cm;Vivant(e);"Chapitre 700 ; Épisode 629";Hira Hira no Mi;99 000 000
doc-q;Doc Q;Blackbeard Pirates;Aucune;Death God,Shinigami,Grim Reaper' in English versions,Doku Kyu;72,000,000;Paramecia;Titanic Captain, Captain of the Ninth Ship;Doctor;North Blue;L'Équipage de Barbe Noire;La Faucheuse, Doc Q, Q, Doku Kyū, Shinigami;Paramecia;Île de Ruche;Pirate Docteur Commandant de la 9e flotte de l'Équipage de Barbe Noire;North Blue;72.000.000;28 ans;342 cm;Vivant(e);"Chapitre 223 ; Épisode 146";Shiku Shiku no Mi;72 000 000
don-quichotte-doflamingo;Don Quichotte Doflamingo;Donquixote Pirates;Impel Down,Underworld,World Government,Seven Warlords of the Sea,Dressrosa;Joker,Joka,Heavenly Yaksha,Ten Yasha,English versions: 'Heavenly Demon,Donkihote Dofuramingo;340,000,000;Paramecia;Pirate Captain;"Prisoner of the Great Prison; Underworld Broker; King of Dressrosa; World Noble";Mary Geoise;L'Équipage de Don Quichotte DoflamingoFamille Don Quichotte;"Joker"" ; ""Démon Céleste, Don Quichotte Doflamingo, Don Quijote Doflamingo, Donkihōte Dofuramingo, Jōkā, Ten Yasha";Paramecia;Mary Geoise Spider Miles Dressrosa Impel Down;Pirate, CapitaineCourtier Roi de Dressrosa Grand CorsaireDragon Céleste;Mary Geoise;340,000,000;41 ans;305 cm;Vivant(e);"Chapitre 233 ; Épisode 151";Ito Ito no Mi;340 000 000
dorry;Dorry;Giant Warrior Pirates;Aucune;Dorry the Blue Ogre,Ao-Oni no Dori,Dori;1,800,000,000;;Pirate Captain;;Elbaph;L'Équipage des Géants;Dorey, Dorry le Démon Bleu, Dorry, Dorī, Ao Oni no Dorī;;;Capitaine;Erbaf;100.000.000 1.800.000.000;160 ans;2260 cm;Vivant(e);"Chapitre 116 ; Épisode 71";Aucun;1 800 000 000
drophy;Drophy;New Spiders Cafe;Baroque Works;Miss Merry Christmas,Misu Meri Kurisumasu,4Kids: 'Ms. Groundhog's Day,WT100: 'Miss Merrychristmas,Town-Collapser' Drophy,Machi Otoshi no Dorofi,Dorofi;14,000,000;Zoan;Cafe Waitress;Officer Agent;Grand Line;Spiders Café Baroque Works;Miss Merrychristmas, Drophy la Tombeuse de Villes, Drophy, Dorofī, Misu Merī Kurisumasu, Machi Otoshi no Dorofī;Zoan;;Pirate Serveuse Agent Officier;Grand Line;14.000.000;51 ans;156 cm;Vivant(e);"Chapitre 160 ; Épisode 103";Mogu Mogu no Mi;14 000 000
edward-weevil;Edward Weevil;Seven Warlords of the Sea;Aucune;Whitebeard Jr.,Jr.,Shirohige Junia,self-proclaimed,Edowado Wiburu;480,000,000;;Pirate;;Grand Line;Grand corsaire;Barbe Blanche Jr, Edward Weevil, Edward Weeble, Edowādo Wīburu, Jr, Shirohige Junia, autoproclamé;;;Pirate;Grand Line;480,000,000;35 ans;680 cm;Vivant(e);"Chapitre 802 ; Épisode 751";Aucun;480 000 000
emporio-ivankov;Emporio Ivankov;Revolutionary Army;Freedom Fighters,Kamabakka Kingdom,Newkama Land;Okama King,Okama O,Miracle Person,Kiseki no Hito,Enporio Iwankofu;100,000,000;Paramecia;G Army Commander of the Revolutionary Army;"Queen of the Kamabakka Kingdom; Queen of Newkama Land; Slave";Kamabakka Kingdom;Armée RévolutionnaireRoyaume de KamabakkaNewcomer Land;Le Faiseur de Miracles, Emporio Ivankov, Enporio Iwankofu, Kiseki no Hito;Paramecia;;"Commandant des Révolutionnaires Armée G ;Reine des OkamasPrisonnier d'Impel Down Esclave";Grand Line (Kedétrav);100.000.000;53 ans;449 cm;Vivant(e);"Chapitre 537 ; Épisode 438";Horu Horu no Mi;100 000 000
enel;Enel;God's Army;Automata;God Enel,Goddo Eneru,Eneru;;Logia;God of Skypiea;;Birka;Clan d'Ener;Ener, Dieu Ener, Eneru, Goddo Eneru;Logia;LuneUpper Yard Bilca;Dieu de Skypiea;Bilca;Aucune;39 ans;266 cm;Vivant(e);"Chapitre 254 ; Épisode 167";Goro Goro no Mi;Inconnu
eustass-kid;Eustass Kid;Kid Pirates;Ninja-Pirate-Mink-Samurai Alliance;Captain,Kyaputen,Yusutasu Kiddo;3,000,000,000;Paramecia;Pirate Captain;;Kutsukku Island;L'Équipage de KidOnze Supernovae;"Eustass ""Captain"" Kidd, Eustass Kid, Eustass Kid ; Eustass Kidd, Yūsutasu Kiddo, Yūsutasu ""Kyaputen"" Kiddo";Paramecia;;Pirate, CapitaineOnze Supernovae;South Blue;3,000,000,000 470,000,000 315,000,000;23 ans;205 cm;Inconnu;"Chapitre 498 ; Épisode 392";Jiki Jiki no Mi;3 000 000 000
foxy;Foxy;Foxy Pirates;Aucune;Silver Fox,Gin-gitsune,Fokushi;24,000,000;Paramecia;Pirate Captain;;South Blue;L'Équipage de Foxy Davy Back Fight;le Renard Argenté, Foxy, Fokushī, Gin-gitsune;Paramecia;;Capitaine Pirate;South Blue;24.000.000;38 ans;180 cm;Vivant(e);"Chapitre 305 ; Épisode 207";Noro Noro no Mi;24 000 000
