id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_age;en_wiki_aliases;en_wiki_bounty;en_wiki_dfname;en_wiki_dftype;en_wiki_first;en_wiki_height;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;en_wiki_status;fr_wiki_affiliation;fr_wiki_âge;fr_wiki_aliases;fr_wiki_dfnom;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_première;fr_wiki_prime;fr_wiki_statut;fr_wiki_taille
bartholomew-kuma;Bartholomew Kuma;Freedom Fighters;"Pacifista,Revolutionary Army,Seven Warlords of the Sea,Sorbet Kingdom";47;"PX-0,Piekkusu Zero,Kumachi,Kuma-chi,Tyrant,Bokun,Pacifist,Heiwashugi-sha,Hero,Hiro,Basoromyu Kuma";"296,000,000";Nikyu Nikyu no Mi;Paramecia;"Chapter 233; Episode 151";689 cm;Army Commander of the Revolutionary Army;"Slave; Warlord of the Sea; King of Sorbet Kingdom; Pastor";Sorbet Kingdom;Alive;Sept grands corsaires Révolutionnaires Royaume de Sorbet;47 ans;"PX-0""Invincible Esclave""""Kumachi"" (くまちー, Kuma-chī), ""Le Tyran/Le Souverain Diabolique"" (暴君, Bōkun) Pacifista (平和主義者, Heiwashugi-sha) Super-Héros (スーパーヒーロー, Sūpāhīrō), Bartholomew Kuma, Bartholomew KumaBatholomew Kuma, バーソロミュー・くま, Bāsoromyū Kuma";"Nikyu Nikyu no Mi, Fruit des coussinets";Paramecia;Baltigo;EsclavePirate Grand corsaire Membre des RévolutionnairesSouverain Pasteur;South Blue (Royaume de Sorbet);"Chapitre 233 ; Épisode 151";296.000.000;Inconnu;6m89
bartolomeo;Bartolomeo;Barto Club;"his own Mafia Family,Straw Hat Grand Fleet";24;"Bartolomeo the Cannibal,Hitokui no Barutoromeo,'Man-Eater Bartolomeo,Barutoromeo";"200,000,000";Bari Bari no Mi;Paramecia;"Chapter 705; Episode 633";220 cm;Captain of the Second Ship of the Straw Hat Grand Fleet;"Pirate Captain; Mafia Leader";East Blue;Unknown;"La Grande Flotte du Chapeau de Paille, L'Équipage de Bartolomeo";24 ans;"""Le Rookie Fou"", ""Le Cannibale"", Bartolomeo, バルトロメオ, Barutoromeo";"Bari Bari no Mi, Fruit de la Barrière";Paramecia;;"Capitaine Pirate; Caïd";East Blue;"Chapitre 705, Épisode 635";"150 000 000 ; 200 000 000";Inconnu;2m20
basil-hawkins;Basil Hawkins;Hawkins Pirates;Beasts Pirates;31;"Magician,Majutsushi,Bajiru Hokinsu";"320,000,000";Wara Wara no Mi;Paramecia;"Chapter 498; Episode 392";210 cm;Pirate;"Captain; Shinuchi";North Blue;Unknown;Équipage de HawkinsOnze SupernovaeÉquipage des cent bêtes;29 ans (pre ellipse)31 ans (post ellipse);"""Le SorcierLe Magicien"" (魔術師, Majutsushi), Basil Hawkins, バジル・ホーキンス, Bajiru Hōkinsu";"Wara Wara no Mi, Pouvoirs de la Paille";Paramecia;;"Pirate, Capitaine Pirates/Génération Terrible";North Blue;"Chapitre 498 ; Épisode 392";320.000.000249.000.000;Inconnu;2m10
bastille;Bastille;Marines;Aucune;38;"Shark Cutter,Same-kiri,Shark Slicer,Basutiyu";"500,000,000";;;"Chapter 553; Episode 462";291 cm;Vice Admiral;;Grand Line;Alive;Marines;38 ans;"""Le Trancheur de Requins"" (カッターサメ, Kattāsame), Bastille, バスティーユ, Basutīyu";;;;Vice-Amiral;Grand Line;"Chapitre 553 ; Épisode 462";;Vivant;2.91 m
bellamy;Bellamy;Donquixote Pirates;Bellamy Pirates;27;"Bellamy the Hyena,Haiena no Berami,Deadly Bullet of Dressrosa,Doresuroza no kyodan,The Big-Time Rookie,Ogata Ruki,Berami";"195,000,000";Bane Bane no Mi;Paramecia;"Chapter 222; Episode 146";240 cm;Dyer;Pirate Captain;Notice;Alive;L'Équipage de Bellamy L'Équipage de Don Quichotte Doflamingo;27 ans;"""Bellamy la Hyène"" (ハイエナのベラミー, Haiena no Beramī); ""Le Plus Grand Rookie de Tous les Temps"" (大型ルーキー, Ōgata Rūkī); ""Le Pirate Sauvage""; ""La Bombe Meurtrière de Dressrosa"", Bellamy, ベラミー, Beramī";"Bane Bane no Mi, Fruit du Ressort";Paramecia;Notice Dressrosa Mock Town;Capitaine Pirate Gladiateur Teinturier pour La Grande Flotte du Chapeau de Paille;North Blue;"Chapitre 222 ; Épisode 146";195.000.000;Vivant;"2,40m"
belo-betty;Belo Betty;Revolutionary Army;East Army;34;Bero Beti;"457,000,000";Kobu Kobu no Mi;Paramecia;"Chapter 904; Episode 880";196 cm;East Army Commander of the Revolutionary Army;;East Blue;Alive;Révolutionnaires;34 ans;"Belo Betty, ベロ・ベティ, Bero Beti";"Kobu Kobu no Mi, Fruit de l'Exaltation";Paramecia;;Commandante (Armée Est);East Blue;"Chapitre 904, Épisode 880";457.000.000;Vivante;1m96
bentham;Bentham;Newkama Land;Baroque Works;32;"Mr. 2 Bon Kurei,Mr. 2,Misuta Tsu Bon Kure,Official Translation: Mr. 2 Bon Clay,Bentham of the Wild,Koya no Bensamu,Bensamu";"32,000,000";Mane Mane no Mi;Paramecia;"Chapter 129; Episode 78";238 cm;Queen of Newkama Land;"Officer Agent; Prisoner of the Great Prison";East Blue;Alive;New Comer LandBaroque Woks;32 ans;"""Mr 2 Bon Clay"" (ミスター・ツー・ボン・クレー Misutā Tsū Bon Kurē), ""Bentham le Sauvage"" (荒野のベンサム, Kōya no Bensamu), Bentham, ベンサム, Bensamu";"Mane Mane no Mi, Travesti-Fruit";Paramecia;;OkamaReine de Newkama LandAgent Officier;East Blue;"Chapitre 129 ; Épisode 78";32.000.000 (capturé);Vivant;2m38
bepo;Bepo;Heart Pirates;Ninja-Pirate-Mink-Samurai Alliance;22;Bepo;"1,5";;;"Chapter 498; Episode 392";240 cm;Pirate;"Navigator; Guardians' helper";Mokomo Dukedom;Alive;Équipage du HeartTribu des MinksAlliance des Ninjas-Pirates-Minks-Samouraïs;22 ans;"Bepo, ベポ";;;Île de Swallow;PirateNavigateur;Zou;"Chapitre 498 ; Épisode 392";1 500500;Vivant;2m40
black-maria;Black Maria;Beasts Pirates;Tobiroppo;29;Burakkumaria;"480,000,000";"Kumo Kumo no Mi, Model: Rosamygale Grauvogeli";Ancient Zoan;"Chapter 977; Episode 982";820 cm;Shinuchi;Brothel owner;Wano Country;Alive;Équipage des cent bêtes;29 ans;"Black Maria, ブラックマリア, Burakku Maria";"Kumo Kumo no Mi, modèle Rosamygale grauvogeli, Fruit de l'Araignée, version Rosamygale grauvogeli";Zoan Antique;Île Onigashima;Tobiroppo Oiran;Pays des Wa;"Chapitre 978 ; Épisode 982";480.000.000;Vivante;8m20
blue-gilly;Blue Gilly;Ideo Pirates;Straw Hat Grand Fleet;24;Buru Giri;;;;"Chapter 706; Episode 636";314 cm;"Martial Artist, Pirate";;Grand Line;Alive;L'Équipage d'Ideo La Grande Flotte du Chapeau de Paille;24 ans;"Blue Gilly, ブルーギリー, Burū Girī";;;;Expert en art martial;Grand Line;"Chapitre 706 ; Épisode 636";;Vivant;3m14
bluejam;Bluejam;Bluejam Pirates;Aucune;42;Burujamu;"14,300,000";;;"Chapter 584; Episode 494";261 cm;Pirate;Captain;Goa Kingdom;Unknown;L'Équipage de Bluejam;42 ans (lors du décès);"Bluejam, ブルージャム, Burūjamu";;;;Capitaine Pirate;Royaume de Goa;"Chapitre 584 ; Épisode 494";14.300.000;Mort;2m61
boa-hancock;Boa Hancock;Kuja Pirates;"Seven Warlords of the Sea,Gorgon Sisters";31;"Snake Princess,Hebihime,Pirate Empress,Kaizoku Jotei,Boa Hankokku";"1,659,000,000";Mero Mero no Mi;Paramecia;"Chapter 516; Episode 409";191 cm;Captain of the Kuja Pirates;"Empress of Amazon Lily; Warlord of the Sea; Slave";Amazon Lily;Alive;KujasL'Équipage des Pirates KujaSept grands corsaires;31 ans;"""La Princesse serpent"" (蛇姫, Hebihime)""L'Impératrice pirate"" (海賊女帝, Kaizoku Jotei), Boa Hancock, ボア・ハンコック, Boa Hankokku";"Mero Mero no Mi, Fruit de la Passion";Paramecia;Amazon Lily;"Pirate, Capitaine PirateImpératrice d'Amazon LilyEsclave";Calm Belt (Amazon Lily);"Chapitre 489 ; Épisode 381 (mentionnée)Chapitre 516 ; Épisode 409Chapitre 0 ; Épisode 0";1.659.000.000 80.000.000;Vivante;1m91
boa-marigold;Boa Marigold;Kuja Pirates;Gorgon Sisters;28;Boa Marigorudo;"40,000,000";"Hebi Hebi no Mi, Model: King Cobra";Zoan;"Chapter 516; Episode 409";432 cm;Ruler of Amazon Lily;Slave;Amazon Lily;Alive;KujasL'Équipage des Pirates Kuja;28 ans;"Boa Marigold, ボア・マリーゴールド, Boa Marīgōrudo";"Hebi Hebi no Mi, modèle Cobra Royal, Fruit de l'Ophidien, modèle Cobra Royal";Zoan;Amazon Lily;PirateEsclave;Calm Belt (Amazon Lily);"Chapitre 516 ; Épisode 409Chapitre 0 ; Épisode 0";40.000.000;Vivante;4m32
boa-sandersonia;Boa Sandersonia;Kuja Pirates;Gorgon Sisters;30;Boa Sandasonia;"40,000,000";"Hebi Hebi no Mi, Model: Anaconda";Zoan;"Chapter 516; Episode 409";453 cm;Ruler of Amazon Lily;Slave;Amazon Lily;Alive;KujasL'Équipage des Pirates Kuja;30 ans;"Boa Sandersonia, ボア・サンダーソニア, Boa Sandāsonia";"Hebi Hebi no Mi, modèle Anaconda, Fruit de l'Ophidien, modèle Anaconda";Zoan;Amazon Lily;PirateEsclave;Calm Belt (Amazon Lily);"Chapitre 516 ; Épisode 409Chapitre 0 ; Épisode 0";40.000.000;Vivante;4m53
borsalino;Borsalino;Marines;Aucune;58;"Kizaru,literally meaning 'Yellow Monkey,Borusarino";"3,000,000,000";Pika Pika no Mi;Logia;"Chapter 504; Episode 398";302 cm;Admiral;Vice Admiral;North Blue;Alive;Marines;58 ans;"""Kizaru"" (黄猿 ; ""Singe Jaune""), Borsalino, ボルサリーノ, Borusarīno";"Pika Pika no Mi, Fruit Luminescent";Logia;;AmiralVice-Amiral;North Blue;"Chapitre 504 ; Épisode 398Chapitre 0 ; Épisode 0";"(3,000,000,000)";Vivant;3m02
brannew;Brannew;Marines;Aucune;56;Buran'nyu;"100,000,000";;;"Chapter 96; Episode 45";190 cm;Commodore;Lieutenant Commander;Grand Line;Alive;Marines;56 ans;"Brand New, Brannew, Brandnew, ブランニュー, Burannyū";;;;Contre-Amiral Commandant;Grand Line;"Chapitre 96 ; Épisode 45";;Vivant;1m90
brogy;Brogy;Giant Warrior Pirates;Aucune;160;"Brogy the Red Ogre,Aka-Oni no Burogi,Burogi";"1,800,000,000";;;"Chapter 115; Episode 71";2130 cm;Pirate Captain;;Elbaph;Alive;Équipage des Géants;160 ans;"Broggy, Brogy le Démon Rouge (赤鬼のブロギー, Aka Oni no Burogī), Brogy, ブロギー, Burogī";;;;Capitaine;Erbaf;"Chapitre 116 ; Épisode 71Chapitre 0 ; Épisode 0";100.000.000 1.800.000.000;Vivant;21m30
brook;Brook;Straw Hat Pirates;"Straw Hat Grand Fleet,Rumbar Pirates,Ninja-Pirate-Mink-Samurai Alliance";90;"Demon King Satan-sama,Akuma-o Satan-sama,[EN][-]'Great Demon Lord,Funimation subs: 'King of the Devils - Satan-sama,Funimation dub: 'Lord Satan,Hone-kichi,Honekichi,[EN][-]English versions: Bonekichi,The Starving Skeleton,Gashadokuro,Humming Brook,Hanauta no Burukku,Soul King,Souru Kingu,Burukku";"383,000,000";Yomi Yomi no Mi;Paramecia;"Chapter 442; Episode 337";277 cm;Musician;"Swordsman; Senior Officer; Pirate Captain (acting, former); Battle Convoy leader; World-Famous Rock Star";West Blue;Alive;"L'Équipage du Chapeau de Paille, L'Équipage du Rumbar";90 ans;"""Le Gentleman Squelette""""Os Mort""""L'Escrimeur Fredonneur""""Brook le Fredonneur"" (鼻歌のブルック, Hanauta no Burukku)""Soul King"" (ソウルキング, Souru Kingu), Brook, ブルック, Burukku";"Yomi Yomi no Mi, Fruit de la Résurrection";Paramecia;"Triangle de Florian, Île de Namakura";"Musicien, Escrimeur, Pirate, Capitaine Pirate Second Capitaine d'un convoi de bataille";West Blue;"Chapitre 442 ; Épisode 337Chapitre 0 ; Épisode 0";383.000.00083.000.00033.000.000;;2m66 (avant l'ellipse)2m77 (après l'ellipse)
buchi;Buchi;Black Cat Pirates;Aucune;23;"Nyaban Brothers,Nyaban Burazazu,English versions: 'Meowban Brothers,Buchi";"7,000,000";;;"Chapter 31; Episode 13";216 cm;Pirate Officer;Ship Guard;East Blue;Alive;L'Équipage du Chat Noir;23 ans;"Tigré, Buchi, ブチ";;;;Pirates;East Blue;"Chapitre 31; Épisode 13";"7,000,000 (avec Sham)";Inconnu;2m16
buffalo;Buffalo;Donquixote Pirates;Aucune;30;Baffaro;;Guru Guru no Mi;Paramecia;"Chapter 692; Episode 618";696 cm;Pirate Officer;"Combatant; Assassin";North Blue;Alive;L'Équipage de Don Quichotte Doflamingo;30 ans;"Buffalo, バッファロー, Baffarō";"Guru Guru no Mi, Fruit-Tournant";Paramecia;Spider Miles Dressrosa;Pirate;North Blue;"Chapitre 692 ; Épisode 618";;Vivant;6m96
cabaji;Cabaji;Cross Guild;"Buggy's Delivery,Buggy and Alvida Alliance, Buggy Pirates";34;"Cabaji the Acrobat,Kyokugi no Kabaji,Kabaji";;;;"Chapter 9; Episode 7";208 cm;Pirate;"Chief of Staff; Acrobat; Swordsman";East Blue;Alive;L'Équipage du Clown;34 ans;"Carnage, Cabaji ""l'Acrobate"" (曲芸のカバジ, Kyokugi no Kabaji), Cabaji, カバジ, Kabaji";;;;"Pirate; Lieutenant de L'Équipage du Clown; Aide de camp";East Blue;"Chapitre 9; Épisode 6";;Vivant;2m08
capone-bege;Capone Bege;Fire Tank Pirates;Big Mom Pirates;42;"Gang,Gyangu,Kapone Bejji";"350,000,000";Shiro Shiro no Mi;Paramecia;"Chapter 498; Episode 392";166 cm;Pirate;"Captain; Mafia don; Combatant";West Blue;Alive;Équipage du Fire TankÉquipage de Big Mom;42 ans;"""Gang"" (ギャング, Gyangu), Capone Bege, カポネ・ベッジ, Kapone Bejji";"Shiro Shiro no Mi, Fruit du Château";Paramecia;;Capitaine Pirate;West Blue;"Chapitre 498 ; Épisode 392";138.000.000300.000.000350.000.000;Vivant;1m66
caribou;Caribou;Caribou Pirates;"Fake Straw Hat Crew,Ninja-Pirate-Mink-Samurai Alliance";32;"Wet-Haired Caribou,Nuregami no Karibu,Karibu";"210,000,000";Numa Numa no Mi;Logia;"Chapter 600; Episode 519";228 cm;Pirate Captain;Kidnapper;North Blue;Alive;Équipage de CaribouÉquipage de Barbe Noire(allié);32 ans;"""Caribou la Mèche Molle""; ""Caribou à la tignasse humide"" (濡れ髪のカリブー, Nuregami no Karibū), Caribou, カリブー, Karibù";"Numa Numa no Mi, Fruit du Marais";Logia;;Capitaine Pirate;North Blue;"Chapitre 600 ; Épisode 519";210 000 000;Vivant;2m28
carrot;Carrot;Mokomo Dukedom;"Ninja-Pirate-Mink-Samurai Alliance, Inuarashi Musketeer Squad";15;Kyarotto;;;;"Chapter 804; Episode 753";161 cm;Ruler of Mokomo Dukedom;"Musketeer; Kingsbird";Mokomo Dukedom;Alive;Zou Unité des mousquetaires;15 ans;"Carrot, キャロット, Kyarotto";;;;Souverain du Royaume de MokomoMembre de l'unité des mousquetairesOiseau Royal;Zou (Principauté de Mokomo);"Chapitre 804 ; Épisode 753";;Vivante;1m61
catarina-devon;Catarina Devon;Blackbeard Pirates;Impel Down;36;"Crescent Moon Hunter,Mikazuki-gari,Katarina Debon";Unknown;"Inu Inu no Mi, Model: Kyubi no Kitsune";Mythical Zoan;"Chapter 575; Episode 484";361 cm;Titanic Captain (Captain of the Sixth Ship);Prisoner of the Great Prison;South Blue;Alive;Équipage de Barbe NoireImpel Down;36 ans;"""La Chasseresse de Nouvelle Lune"" (若（みか）月（づき）狩（が）り, Mikazuki Gari?), Catarina Devon, カタリーナ・デボン, Katarīna Debon";"Inu Inu no Mi, modèle Kyubi no Kitsune, Fruit du canidé de type Zoan mythique, version Renard à Neuf Queues";Zoan Mythique;Île de Ruche;PirateCommandante de la 6e flotte de Équipage de Barbe NoirePrisonnière d'Impel Down;South Blue;"Chapitre 575 ; Épisode 484";Au moins 100.000.000;Vivante;3m61
cavendish;Cavendish;Beautiful Pirates;"Straw Hat Grand Fleet,Bourgeois Kingdom";26;"Hakuba,Cavendish of the White Horse,Hakuba no Kyabendisshu,'White Knight Cavendish,Pirate Prince,Kaizoku Kikoshi,'Pirate Noble,Funimation: 'Pirate Nobleman,Kyabendisshu";"330,000,000";;;"Chapter 704; Episode 632";208 cm;Captain of the First Ship of the Straw Hat Grand Fleet;"Pirate Captain; Prince of the Bourgeois Kingdom";Bourgeois Kingdom;Alive;Équipage des Magnifiques Pirates La Grande Flotte du Chapeau de Paille Royaume Bourgeois;26 ans;"Hakuba (ハクバ, Hakuba), - ""Cavendish au Cheval Blanc"" (白馬のキャベンディッシュ, Hakuba no Kyabendisshu); - ""Prince des pirates"" (海賊貴, Kaizoku Kikōshi), Cavendish, キャベンディッシュ, Kyabendisshu";;;;Capitaine Pirate Prince Épéiste;Grand Line (Royaume Bourgeois);"Chapitre 704; Épisode 632";330 000 000 280 000 000;Vivant;2m08
cesar-clown;Cesar Clown;NEO MADS;"Donquixote Pirates,Marines,MADS";55;"Cedar,Shida,Gangster' Gastino,Gyangusuta Gasutino,Master,M,Masuta,Shiza Kuraun";"300,000,000";Gasu Gasu no Mi;Logia;"Chapter 658; Episode 581";309 cm;Scientist;;Grand Line;Alive;Équipage du Fire Tank L'Équipage de Don Quichotte Doflamingo Marines MADS Néo Mads;55 ans;"""Master""（マスター, Masutā)""Gangster Gastino"" (“ギャングスター”ガスティーノ, Gyangusutā Gasutīno), César Clown, シーザー・クラウン, Shīzā Kuraun";"Gasu Gasu no Mi, Fruit du gaz";Logia;;Scientifique;Grand Line;"Chapitre 658 ; Épisode 581";300 000 000;Vivant;3m09
chadros-higelyges;Chadros Higelyges;Caesar Clown;"Brownbeard Pirates , Centaur Patrol Unit";45;"Brownbeard,Chahige,Boss,as Centaur Patrol Unit Leader,Chadorosu Higerigesu";"80,060,000";;;"Chapter 581; Episode 490";691 cm;Leader of the Centaur Patrol Unit;Pirate Captain;Grand Line;Alive;César Clown Unité de Patrouille Centaure L'Équipage de Barbe Brune (dissous);45 ans;"""Barbe Brune"" (茶ひげ, Chahige), Chadros Higelyges, チャドロス・ヒゲリゲス, Chadorosu Higerigesu";;;;Chef de l'Unité de patrouille Centaure Capitaine pirate;Grand Line;"Chapitre 581 ; Épisode 490";80.060.000;Vivant;6m91
charlotte-brulee;Charlotte Brulee;Charlotte Family;Big Mom Pirates;43;Sharotto Buryure;;Mira Mira no Mi;Paramecia;"Chapter 831; Episode 791";350 cm;Pirate Officer;;Grand Line;Alive;Famille CharlotteL'Équipage de Big Mom;43 ans;"Charlotte Brûlée, シャーロット・ブリュレ, Shārotto Buryure";"Mira Mira no Mi, Fruit du miroir";Paramecia;Whole Cake IslandMonde des Miroirs;Pirate;Grand Line (dans un port inconnu);"Chapitre 832 ; Épisode 791";;Vivante;3m50
charlotte-chiffon;Charlotte Chiffon;Fire Tank Pirates;Charlotte Family;26;Sharotto Shifon;;;;"Chapter 825; Episode 783";215 cm;Cook;Minister of Puff;Totto Land;Alive;"Famille Charlotte; L'Équipage du Fire Tank";26 ans;"Charlotte Chiffon, シャーロット・シフォン, Shārotto Shifon";;;Île Moelleuse (Fluffy Town);"Cuisinière; ""Ministre Moelleux"" (ふんわり大臣, Funwari Daijin) anciennement";Grand Line (Archipel Totto Land);"Chapitre 825; Épisode 783";;Vivante;2m15
charlotte-cracker;Charlotte Cracker;Charlotte Family;Big Mom Pirates;45;"Thousand Arms Cracker,Senju no Kurakka,Biscuit Knight,Bisuketto no Kishi,Sharotto Kurakka";"860,000,000";Bisu Bisu no Mi;Paramecia;"Chapter 835; Episode 796";307 cm;Sweet Commander;Minister of Biscuit;Grand Line;Alive;"Famille Charlotte;Équipage de Big Mom";45 ans;"""Cracker aux Mille Bras"" (千手のクラッカ, Senju no Kurakkā);""Le Chevalier Biscuit"" (ビスケットの騎士, Bisuketto no Kishi), Charlotte Cracker, シャーロット・クラッカー, Shārotto Kurakkā";"Bisu Bisu no Mi, Fruit du Biscuit";Paramecia;Île Biscuit (Cookie Town);"Pirate;Ministre Biscuit;Général Sucré";Grand Line (sur un navire);"Chapitre 835; Épisode 796";860.000.000;Inconnu;3m07
charlotte-daifuku;Charlotte Daifuku;Charlotte Family;Big Mom Pirates;48;Sharotto Daifuku;"300,000,000";Hoya Hoya no Mi;Paramecia;"Chapter 861; Episode 826";489 cm;Pirate Officer;Minister of Beans;Grand Line;Alive;"Famille Charlotte; Équipage de Big Mom";48 ans;"Charlotte Daifuku, シャーロット·ダイフク, Shārotto Daifuku";"Hoya Hoya no Mi, Fruit de la lampe";Paramecia;Île Croquante (Bean Town);"""Ministre Haricot"" (豆大臣, Mame Daijin) ; Pirate";Grand Line (sur un navire);Chapitre 861Épisode 826;300.000.000;Vivant;4m89
charlotte-flampe;Charlotte Flampe;Charlotte Family;Big Mom Pirates;15;Sharotto Furanpe;;;;"Chapter 891; Episode 865";170 cm;Pirate Officer;"Minister of Honey; Special Attack Unit Captain; Katakuri Fan Club President";Totto Land;Alive;"Famille Charlotte; L'Équipage de Big Mom; Fan Club de Katakuri";15 ans;"Charlotte Flampe, Charlotte Flampée, シャーロット・フランペ, Shārotto Furanpe";;;Île Miel (Honey Town);"Pirate; ""Ministre Miel"" (はちみつ大臣, Hachimitsu Daijin); Capitaine des Forces Spéciales; Présidente du Fan Club de Katakuri";Grand Line (Archipel Totto Land);"Chapitre 891; Épisode 865";;Vivante;1.70 m
charlotte-katakuri;Charlotte Katakuri;Charlotte Family;Big Mom Pirates;48;Sharotto Katakuri;"1,057,000,000";Mochi Mochi no Mi;Special Paramecia;"Chapter 860; Episode 825";509 cm;Sweet Commander;Minister of Flour;Grand Line;Alive;Équipage de Big MomFamille Charlotte;48 ans;"Katakuri, Charlotte Dent-de-Chien (Manga)Charlotte Katakuri (Anime), シャーロット·カタクリ, Shārotto Katakuri";"Mochi Mochi no Mi, Fruit du Riz Gluant";Paramecia;Île Blé (Flour Town);PirateGénéral SucréMinistre de la Farine;Grand Line (sur un navire);"Chapitre 860 ; Épisode 825";1 057 000 000;Vivant;5m09
charlotte-laura;Charlotte Laura;Rolling Pirates;"Charlotte Family,Thriller Bark Victim's Association";26;"Marriage Proposal Lola,Kyukon no Rora,English versions: 'Lola the Proposer,Sharotto Rora";"24,000,000";;;"Chapter 476; Episode 370";215 cm;Pirate Captain;Minister of Chocolate;Totto Land;Alive;L'Équipage du RollingAssociation des Victimes de Thriller Bark Famille Charlotte;26 ans;"""Laura l'Amoureuse"" (求婚のローラ,Kyūkon no Rōra), Charlotte Laura, シャーロット・ローラ, Shārotto Rōra";;;Île Cacao (Chocolate Town);"Capitaine PirateMinistre Chocolat (チョコレート大臣, Chokorēto Daijin)";Grand Line (Archipel Totto Land);"Chapitre 476 ; Épisode 370";24.000.000;Vivante;2m15
charlotte-linlin;Charlotte Linlin;Big Mom Pirates;"Rocks Pirates,Four Emperors,Charlotte Family";68;"O-Lin,Orin,English versions: 'Olin,Big Mom,Biggu Mamu,Funimation subs: Big Mam,Evil Spirit,Akujin,Sharotto Rinrin";"4,388,000,000";Soru Soru no Mi;Paramecia;"Chapter 651; Episode 571";880 cm;Pirate Captain;"Emperor; Queen of Totto Land";Grand Line;Unknown;L'Équipage de Rocks L'Équipage de Big MomQuatre EmpereursFamille Charlotte;68 ans;"Big Mom (ビッグ・マム, Biggu Mamu) ""Mamma"" (ママ, Mama), Charlotte Linlin, シャーロット・リンリン, Shārotto Rinrin";"Soru Soru no Mi, Fruit des Âmes";Paramecia;Whole Cake IslandErbaf;Pirate Capitaine PirateReine de Totto Land;Grand Line;"Chapitre 651 ; Épisode 571";50.000.000500.000.0004.388.000.000;Inconnu;8m80
charlotte-mont-d-or;Charlotte Mont d'Or;Charlotte Family;Big Mom Pirates;38;"Scribe,Shoshi,'Book-Keeper,Sharotto Mondoru";"120,000,000";Buku Buku no Mi;Paramecia;"Chapter 829; Episode 789";260 cm;Pirate Officer;Minister of Cheese;Grand Line;Alive;"L'Équipage de Big Mom; Famille Charlotte";38 ans;"""Le bibliothécaire"" (書司 Shoshi), Charlotte Mont d'Or, シャーロット·モンドール, Shārotto Mondōru";"Buku Buku no Mi, Fruit du Livre";Paramecia;Île Fromage (Cheese Town);"Ministre du Fromage (チーズ大臣, Chīzu Daijin)";Grand Line (sur un navire);"Chapitre 829 ; Épisode 789";120.000.000;Vivant;2.60 m
charlotte-oven;Charlotte Oven;Charlotte Family;Big Mom Pirates;48;Sharotto Obun;"300,000,000";Netsu Netsu no Mi;Paramecia;"Chapter 861; Episode 827";492 cm;Pirate Officer;Minister of Browned Food;Grand Line;Alive;"Famille Charlotte; Équipage de Big Mom";48 ans;"Charlotte Oven, シャーロット·オーブン, Shārotto Ōbun";"Netsu Netsu no Mi, Fruit de la Cuisson";Paramecia;Île Gâteau (Fluffy Town);"Ministre Cuisson (こんがり大臣, Kongari Daijin); Officier de l'équipage de Big Mom";Grand Line (sur un navire);Chapitre 861Épisode 827;300.000.000;Vivant;4m92
charlotte-perospero;Charlotte Perospero;Charlotte Family;Big Mom Pirates;50;Sharotto Perosupero;"700,000,000";Pero Pero no Mi;Paramecia;"Chapter 834; Episode 795";333 cm;Pirate Officer;Minister of Candy;Grand Line;Alive;"Famille Charlotte; Équipage de Big Mom";50 ans;"Charlotte Perospero, Charlotte Slurp, シャーロット・ペロスペロー, Shārotto Perosuperō";"Pero Pero no Mi, Fruit de la léchouille";Paramecia;Île Bonbon (Lick Town);"Ministre Bonbon (キャンディー大臣, Kyandī Daijin); Commandant pirate";Grand Line (dans un port inconnu);"Chapitre 834, Épisode 795";700.000.000;Vivant;3m33
charlotte-praline;Charlotte Praline;Sun Pirates;"Charlotte Family,Big Mom Pirates";29;Sharotto Purarine;;;;"Chapter 830; Episode 790";800 cm;Minister of Design;Pirate;Totto Land;Alive;"Famille Charlotte;L'Équipage des Pirates du Soleil;L'Équipage de Big Mom";29 ans;"Charlotte Praline, Charlotte Praliné, シャーロット・プラリネ, Shārotto Purarine";;;Île Unique (Fancy Town);"Pirate; Ministre Design (デザイン大臣, Dezain Daijin)";Archipel Totto Land;"Chapitre 830 ; Épisode 790";;Vivante;8m00
charlotte-smoothie;Charlotte Smoothie;Charlotte Family;Big Mom Pirates;35;Sharotto Sumuji;"932,000,000";Shibo Shibo no Mi;Paramecia;"Chapter 846; Episode 812";464 cm;Sweet Commander;Minister of Juice;Totto Land;Alive;"Famille Charlotte ; Équipage de Big Mom";35 ans;"Charlotte Smoothie, シャーロット・スムージー, Shārotto Sumūjī";"Shibo Shibo no Mi, Fruit du Presse-Presse";Paramecia;Île 100% (Juice Town);"Pirate ; Ministre Jus (ジュース大臣, Jūsu Daijin) ; Générale Sucrée";Grand Line (Archipel Totto Land);"Chapitre 846 ; Épisode 812";932.000.000;Vivante;464 cm
chess;Chess;Bliking Pirates;Drum Kingdom;32;Chesu;;;;"Chapter 131; Episode 78";194 cm;Evil Chief of Staff (Chief of Staff);Pirate;Drum Kingdom;Alive;"L’Équipage de Wapol (dissous), Royaume des Cerisiers";32 ans;"Chess, チェス, Chesu";;;;"Chef d' état-major maléfique (Chef du personnel), Pirate Tireur d'Elite";Île de Drum;"Chapitre 131 ; Épisode 78";;Vivant;1m94
